Card#,Title,Artist,Year,URL,Youtube-Title,Hashed Info
126,Never Surrender,Corey Hart,1985,https://www.youtube.com/watch?v=-4pg6Jh94Lo,Corey Hart - Never Surrender (Official Music Video),a6ee03357b177b80c6a328cbad96f672f4e44c3ecdc4761d0fcb9e2c4ba9c076
127,We Like To Party!,Vengaboys,1998,https://www.youtube.com/watch?v=6Zbi0XmGtMw,Vengaboys - We like to Party! (The Vengabus),3013e9d1c01565f9d677a20d79fd4c22914f7f945fb7dccb7583d9678f3891b6
128,Born To Be Wild,Steppenwolf,1968,https://www.youtube.com/watch?v=igvP806798U,Born To Be Wild,1eacb6a1259de601de99851ad0e9e1881c499f00dba9a122943f2df049fcd6d7
129,Belive,Cher,1998,https://www.youtube.com/watch?v=nZXRV4MezEw,Cher - Believe (Official Music Video) [4K Remaster],edfccfef7fd8319c6b775b34baf108c16b4733f66b8f8753a46d76b233858b31
130,Master Of Puppets,Metallica,1986,https://www.youtube.com/watch?v=E0ozmU9cJDg,Master of Puppets (Remastered),a2891b957f20d3065ae47bfc94c8f34dc3cb410fd28f82aaa11e83480accebc3
131,Tom Sawyer,Rush,1981,https://www.youtube.com/watch?v=6QsXhH93QAs,Rush - Tom Sawyer (Official Music Video),d10896eab5b0976467119802b12c563ff9cdd87e5c74c289338290ddd453889a
132,Mr. Brightside,The Killers,2003,https://www.youtube.com/watch?v=pvIJyRkS9y0,Mr. Brightside HQ (The Killers),069ef95f9fe487394ad0251658102cf33ce1300d06a0430240c49d3e9024b9b1
133,The Ketchup Song (Aserejé),Las Ketchup,2002,https://www.youtube.com/watch?v=AMT698ArSfQ,Las Ketchup - The Ketchup Song (Asereje) (Spanglish Version) (Official Video),22b4a31d2342495dd3e3d101cbc76310a95d81f945e6e4f596a6541ee210c982
134,Fast Car,Tracy Chapman,1988,https://www.youtube.com/watch?v=AIOAlaACuv4,Tracy Chapman - Fast Car (Official Music Video),f725ae6d64a1b8d739ff2495663ed9af00babc422df55f993f4f5e71b80c965e
135,No Son Of Mine,Genesis,1991,https://www.youtube.com/watch?v=KZbHcAPsllE,Genesis - No son of mine (1991),d7b0cfb42f7d599ddac2d60ee059fc91eb6bd189ce60aa82eefe3b3448a50a5b
136,Crazy,Aerosmith,1994,https://www.youtube.com/watch?v=DU5fiwedSCk,Crazy,6881e182644c8861e8706fd1a2412afcf0416732a596db56256fbdca8d6d506e
137,Don't Stop Belivin',Journey,1981,https://www.youtube.com/watch?v=1k8craCGpgs,Journey - Don't Stop Believin' (Official Audio),0a9c04e9c7edf4a902299ea8dab66b1800009b0f68bf6c82e1390ab60c8dd802
138,Ghost,Justin Bieber,2022,https://www.youtube.com/watch?v=Fp8msa5uYsc,Justin Bieber - Ghost,39f19251575df2b5f614a972e708ffe929f61dae5c34aa9f7118d67092850601
139,Domino Dancing,Pet Shop Boys,1988,https://www.youtube.com/watch?v=ik2YF05iX2w,Pet Shop Boys - Domino Dancing (Official Video) [HD REMASTERED],b2033959a0a556015a6d6965271e7ef6361af9baf018050bdf764ca15c04869b
140,Sweet Dreams (Are Made Of This),Eurytmics,1983,https://www.youtube.com/watch?v=eRhg7qPLeN8,Sweet Dreams (Are Made of This) (2005 Remaster),9632d17980e82844dbd423b864015739bbf563749f438dd62a1783fc0b726fd9
141,Bitter Sweet Symphony,The Verve,1997,https://www.youtube.com/watch?v=1lyu1KKwC74,The Verve - Bitter Sweet Symphony,bc487057389be8a9756812a9fe0f147f9477c47bf1a9f651963558bb49356f33
142,God Is A DJ,Faithless,1998,https://www.youtube.com/watch?v=bhSB8EEnCAM,Faithless - God Is a DJ (Official Video),7ef9df67a370672fa57c13ceabda474cdc3b4646c02c6cf63fbf8e3395b715b3
143,Barbie Girl,Aqua,1997,https://www.youtube.com/watch?v=eLXXFVNFKww,Aqua - Barbie Girl (Audio),19d12e2c3c5660a5700178d38c2b3f050948e35fd19e2e0f57511fa8e6f7acc3
144,Wheel Of Fortune,Kay Starr,1951,https://www.youtube.com/watch?v=OeIce5NsWKk,Kay Starr - Wheel Of Fortune 1952,69bbca11660a5c6b616ffd83eb99b309e5562517c6847898a12e2926f76b2160
145,Torn,Natalie Imbruglia,1997,https://www.youtube.com/watch?v=UOJkzcJigGI,Natalie Imbruglia - Torn (Official Audio),52cfe8814fd956aa5e11a19c22b2e70246d8c04e2ec369dff7042b5d5ee83daf
146,The Loco-Motion,Little Eva,1962,https://www.youtube.com/watch?v=24Neyv2crh4,Little Eva - The Locomotion,24cf5c052069f86a7705eedc2f2c066cf36fa19078306862a9c3750cc7d8831f
147,Bye Bye Love,The Everly Brothers,1957,https://www.youtube.com/watch?v=LRyrWN-fftE,Everly Brothers - Bye Bye Love - Original HQ Audio,9a24a9b92574d5f5661d30880ecf00ce3574e9ebf48b43735fa020c638b9243e
148,Drivers Licence,Olivia Rodrigo,2021,https://www.youtube.com/watch?v=tNJhkrpLGT8,drivers license,d37aa1106188d27ee866f87e5dd8588e456c8f78658e55774993fed830d8e275
149,Flowers,Miley Cyrus,2023,https://www.youtube.com/watch?v=7V3jqsIe8c0,Miley Cyrus - Flowers (Official Lyric Video),dc4681b41795a939adc6b1b1b3b3b1eeea3b45c968da982da0fa7a8953688404
150,I Love It,Icona Pop (feat. Charli XCX),2012,https://www.youtube.com/watch?v=W50HtcPAeSs,Icona Pop - I Love It (Feat. Charli XCX)  [Audio],bfcfa00cd7aef3fe5526fe93c104c32a8bf2ea910b425bd53cc5180fbf25d66a
151,Stressed Out,Twenty One Pilots,2015,https://www.youtube.com/watch?v=pXRviuL6vMY,twenty one pilots: Stressed Out [OFFICIAL VIDEO],bd401f98ccf899e67c96cdca808b41e8959bdad82965ad910b4bd59459541380
152,That Don't Impress Me Much,Shania Twain,1998,https://www.youtube.com/watch?v=mqFLXayD6e8,Shania Twain - That Don't Impress Me Much (Official Music Video),463f083b4e1d15ec603480b2023abbaa185dfbb7d07b2cbcbbdb679c23174777
153,Porcelain,Moby,1999,https://www.youtube.com/watch?v=KtsVN__gPvQ,Porcelain,2b7aa35a0fa6c96113e78f7276567cbc7165f005f977f7906ae7ba042bce94a8
154,"December, 1963 (Oh What A Night)",Frankie Valli & The Four Seasons,1975,https://www.youtube.com/watch?v=mTUhnIY3oRM,"Frankie Valli & The Four Seasons - December, 1963 (Oh, What a Night) (Official Music Video)",0b2cdf8c60463402da9aa2fe7a7f92cbdfa31a42b04723609c04952e48a42015
155,Sweet Home Alabama,Lynyrd Skynyrd,1974,https://www.youtube.com/watch?v=-p8GXZcdrIk,Lynyrd Skynyrd - Sweet Home Alabama (Lyric Video),9d441c7491c5516374e5629ba3ae328b2321a0946d9958af48c75afca31c2051
156,Señorita,Shawn Mendes & Camila Cabello,2019,https://www.youtube.com/watch?v=dFp_b5DPIIo,"Shawn Mendes, Camila Cabello - Señorita (Lyrics) Letra",e64b145c3e739f85359aabe2630cd7081cb268d09c9a709130c203a5fdecd8d2
157,1979,The Smashing Pumpkins,1995,https://www.youtube.com/watch?v=Lr58WHo2ndM,Smashing Pumpkins - 1979,37947ea4eee901aaece1c919728323ebde9cc43d5f5715b3be69fa520720c647
158,Heaven Is A Place On Earth,Belinda Carlisle,1987,https://www.youtube.com/watch?v=NOGEyBeoBGM,Belinda Carlisle - Heaven Is A Place On Earth (Official Music Video),d070987737862ae64f630ac2992aff7ddf052dc72659909248f4cd549a6d8e76
159,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,1970,https://www.youtube.com/watch?v=inXC_lab-34,"Stevie Wonder- Signed, Sealed, Delivered, I'm Yours",e4a15e7d4c4e7bd084da77d8f797be37ebcf2f8a9794b46d1ab635ed4610ecf2
160,I Heard It through The Grapevine,Marvin Gaye,1968,https://www.youtube.com/watch?v=VWG3npfEoHo,I Heard It Through The Grapevine,9623f7e2f5923c87c0fd9ae2ac0ebd175fbc53f21ad2e7e862ff1619a126b295
161,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1971,https://www.youtube.com/watch?v=bO28lB1uwp4,Creedence Clearwater Revival - Have You Ever Seen The Rain,b6e12530788e5d77427b9590d47725c5ae9980a7105b6fe46a5c410401084e9d
162,Disco Inferno,The Trammps,1976,https://www.youtube.com/watch?v=u5lSeYd_riw,The Trammps - Disco Inferno (Original Long Version - Tony Mendes Video Re Edit),4f5b450e4994eeb3ca80e649ac7c6acef12ce1d61334f12e76bc93d4c7487856
163,Shout,Tears For Fears,1984,https://www.youtube.com/watch?v=Ye7FKc1JQe4,Tears For Fears - Shout (Official Music Video),5367d47b39573af9f2e13c6180ed5246511870d3da1caf74d0d548cb3b517ff3
164,Hurt So Good,John Mellencamp,1982,https://www.youtube.com/watch?v=4dOsbsuhYGQ,John Mellencamp - Hurts So Good (Official Music Video),d1e8cbfce40e669565929732148b638f6f41054d56484c6846fc38fc8436e6a3
165,We Built This City,Starship,1985,https://www.youtube.com/watch?v=NtM3jjLP7AE,We Built This City,ba4580cff63f734d3e006c8e3556e65edf246da209a51399593787fb5913c5f7
166,Wooly Bully,Sam The Sham & The Pharaohs,1965,https://www.youtube.com/watch?v=KZJiGu6Gz8E,Sam The Sham & The Pharaohs Woolly Bully,f45f09b728458800ffcecd4b2c383e6f1f3748498a662630b7dc3bc57d8d9126
167,Viva La Vida,ColdPlay,2008,https://www.youtube.com/watch?v=dvgZkm1xWPE,Coldplay - Viva La Vida (Official Video),4978685807e342187b61111c890668dc84e819346dc3c1371658caa336724eee
168,Faith,George Michael,1988,https://www.youtube.com/watch?v=6Cs3Pvmmv0E,George Michael - Faith (Official Video),89ac64703c7ab0b567af4ea135d1e875c239e42a852dab5ad6855eaf7fc04a8f
169,What Is Love,Haddaway,1993,https://www.youtube.com/watch?v=OFNrN_6Ta5I,Haddaway - What is Love (Audio),827ba58bccddc641baaabcc950b2ccfcfc0d49be4464e795bd430f93773af23c
170,Somebody That I Used To Know,Gotye (feat. Kimbra),2011,https://www.youtube.com/watch?v=2FZZK8gBBOI,Gotye - Somebody That I Used to Know (2015 Remaster),ede2c12c46487b460488aacfaa215cd4785f16b2da66b9434b3df57b38146fcd
171,Mercy,Duffy,2008,https://www.youtube.com/watch?v=eJCrb1oNbH4,Duffy - Mercy (Lyrics),2967c570e101f9c8aba9318bd2bcccb98210390522e0f1a738a1202838dd2816
172,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987,https://www.youtube.com/watch?v=id2-K3daNRQ,I Wanna Dance with Somebody (Who Loves Me),3436bdfc5bd1ac10347cacf275a7f5b0b952e1f68381fd4e857315d8c1f95813
173,"You're The First, The Last, My Everything",Barry White,1974,https://www.youtube.com/watch?v=E7zmRvhFEYo,"You're The First, The Last, My Everything",3303b0bfce1e69370892a0866ae31dcf55e79bdc4a7182c24c18b3025bfe14b8
174,Fireflies,Owl City,2009,https://www.youtube.com/watch?v=QBgl4rVz3Ks,Owl City - Fireflies (Lyrics),ef6df7d4c2f07b74b785109a3902333072d9c5869548d6d15338cc0463e12798
175,Love Train,The O'Jays,1975,https://www.youtube.com/watch?v=2vTKmVvyNRc,The O'Jays - Love Train,2a2d0bbadfa89098b2acbc5519f8c50b634926459789b978893c180fc5fa4b0c
176,Lola,The Kinks,1970,https://www.youtube.com/watch?v=LemG0cvc4oU,The Kinks - Lola (Official Audio),77706b32c3d363335c2d516bcb05bfead76e63b83587c2e89bd3204a17ee6e6f
177,Watermelon Sugar,Harry Styles,2020,https://www.youtube.com/watch?v=7-x3uD5z1bQ,Harry Styles - Watermelon Sugar (Official Audio),0c5e3eb3dd6ed1892f1e997459ba315bee9cadcd129279c678665c9a629473ef
178,Don't Speak,No Doubt,1996,https://www.youtube.com/watch?v=1leInEAlbjY,No Doubt  - Don't Speak,64f6f3f6d9675435fd7c9b0ec64de13efdbe72f201fc786faa2464a95d85586d
179,Survivor,Destiny's Child,2001,https://www.youtube.com/watch?v=lXAdAa4ZuuY,Survivor - Destiny's Child (Lyrics) 🎵,c10ed5e5e7946f8c88a2eb1183c652e944771738fbd04ff62f8332acada07a99
180,Ho Hey,The Lumineers,2012,https://www.youtube.com/watch?v=R6UqE6JzNLA,The Lumineers - Ho Hey (Lyrics),5ff99252d38e06dbf7460c38f2c3709faaa1e40076a034d98b8a3fef2469451b
181,We R Who We R,Kesha,2010,https://www.youtube.com/watch?v=tCkGsyOYDMI,We R Who We R,2117dcf0bb80ee830583079366c3eb3b702c10d6b7df7360ffd72afbe69a5d9e
182,This is How We Do It,Montell Jordan,1995,https://www.youtube.com/watch?v=mTY31zVUqfs,Montell Jordan - This Is How We Do It (Lyrics),f18e428c338d94a1a0dc410e204ce5d5ad2372041fcb9f487e591b26588d835d
183,Red Flag,Billy Talent,2006,https://www.youtube.com/watch?v=1XAn5Gbrcs4,"Billy Talent - Red Flag (HD,HQ)",6e706a9dc58cafb01235fb98160ee58f6e91678762af5602e595937265fd7153
184,Just Give Me A Reason,P!nk (feat. Nate Ruess),2012,https://www.youtube.com/watch?v=OpQFFLBMEPI,P!nk - Just Give Me A Reason ft. Nate Ruess,40299bbd43cbba7d1f76a9ba902f804af314fde714fbe5c08aad9481e72403cf
185,The Best,Tina Turner,1989,https://www.youtube.com/watch?v=GC5E8ie2pdM,Tina Turner - The Best (Official Music Video),3ad2148b09a07e103497d57ed282bf83e34edcd1200251e433ecb690ec61b507
186,The Look,Roxette,1988,https://www.youtube.com/watch?v=LlVI7ZNiFlI,Roxette - The Look,cfe223cf49d1e3f80378c57cb9e2f0e6fe3eac321c75e10b896485348f39cf28
187,Dragostea Din Tei,O-Zone,2003,https://www.youtube.com/watch?v=uukQ7hGygRc,Dragostea din tei,351411463dd388d134afc7d6be7935950ba85145afc4acb611c81d45a23f570f
188,I Want It That Way,Backstreet Boys,1999,https://www.youtube.com/watch?v=-aKJE1lanQk,I Want It That Way,f4efc494cd597f6948145bb59c8bf557afc69593061aa627addf023f2618cffb
189,"Girl, You'll Be A Woman Soon",Neil Diamond,1967,https://www.youtube.com/watch?v=K_fZCD93LzQ,"Girl, You'll Be A Woman Soon",c88a0cc27784a48456a0f03c67bd60de8b308250165b86371c4c5cb354e61c15
190,Ring Of Fire,Johnny Cash,1963,https://www.youtube.com/watch?v=1WaV2x8GXj0,Ring of Fire,55ed1d5ee92da1b861b27d8782c3057a5b8ad2ef93537220ea7fd48cef46281f
191,I Like To Move It,Reel 2 Real (feat. The Mad Stuntman),1993,https://www.youtube.com/watch?v=vuo8kD5zF5I,Reel 2 Real feat. The Mad Stuntman - I Like To Move It (Official Video),559efd4724c748613df6a32580add278c32d4797e8d5d7e07ca7d0abdbf6a3e1
192,Thunderstruck,AC/DC,1990,https://www.youtube.com/watch?v=v2AC41dglnM,AC/DC - Thunderstruck (Official Video),eeed47e4f39b24bf0a5f56234a09e91f1ed971cae9bf8bf9e7d649092a1a554e
193,Party Rock Anthem,LMFAO (feat. Lauren Bennett and GoonRock),2011,https://www.youtube.com/watch?v=zIh5AHxh-Ok,"LMFAO ft. Lauren Bennett, GoonRock - Party Rock Anthem (Official Audio)",59591d272adfd849a0e8c56ebf415e1b57afa79a1a4d54cf06bcf9d77ff36e08
194,All About That Bass,Meghan Trainor,2014,https://www.youtube.com/watch?v=Fccz4gz5erM,All About That Bass,980c4ce5e76d55774aa033e12c09495a96c34cacef1e69b85ea1ae1beff83a2b
195,Have A Nice Day,Stereophonics,2001,https://www.youtube.com/watch?v=tgkeg5sjPP4,Have A Nice Day,618a5eb21d3214a12cdf124fb01dee0efd48133e7451bf170a93c58debaad5ef
196,Waka Waka (This Time For Africa),Shakira,2010,https://www.youtube.com/watch?v=rjJKXxUx2PU,Shakira - Waka Waka (This Time for Africa) (Audio),c4d91f6d0546057213ec759d6755982a8e6d7389ee2ab87482a3d1640f286971
197,One More Time,Daft Punk,2000,https://www.youtube.com/watch?v=A2VpR8HahKc,Daft Punk - One More Time (Official Audio),0cc5749b1c2c84b9813cb17537de587bc677a204cd434370dff6b9635bd231c8
198,Happy,Pharrell Williams,2013,https://www.youtube.com/watch?v=ZbZSe6N_BXs,Pharrell Williams - Happy (Video),7878bf7cbe23768f8a8f4b541acdee6f6a9edf95f761e3839b03082897a9d4fc
199,Start Me Up,The Rolling Stones,1981,https://www.youtube.com/watch?v=ZzlgJ-SfKYE,Rolling Stones-start me up,bc40410878eb5e1c2e82fc9015ed230de97fd95c8a1eb94c9755ecf9f70f900a
200,Tequila,The Champs,1958,https://www.youtube.com/watch?v=U_JFLb1IItM,Tequila,28035f660a05e7001d76f699a34fe57dc949843c8347fcbd8ec4cc45ae461278
201,Sing Hallelujah!,Dr. Alban,1993,https://www.youtube.com/watch?v=pKxJca7LLNM,Dr. Alban - Sing Hallelujah (Official HD Video),7c36d4cb6937c3ef9b2d27cc3b653765c1082e71b2f36ccac3a0dab23e85cba0
202,Flashdance... What A Feeling,Irene Cara,1983,https://www.youtube.com/watch?v=ILWSp0m9G2U,Irene Cara  - Flashdance What A Feeling (Official Music Video),019d4c1b3070d7d83d73148b3e7df9be219450443d88023bad5123850bacffcb
203,Work,Rihanna (feat. Drake),2016,https://www.youtube.com/watch?v=xizkel_Jrdo,Rihanna - Work ft. Drake,937972e041ff93d4e1a212630dae1d72db4e58fb2134a30c7948388fdfbbc708
204,Pour Some Sugar On Me,Def Leppard,1987,https://www.youtube.com/watch?v=eiOIDqRKo0Y,Pour Some Sugar On Me (Remastered 2017),35af415b54ede75e667cb9349737c5cfb62ac65ae17ca5c822fc1a30d39373df
205,Never Ending Story,Limahl,1984,https://www.youtube.com/watch?v=2WN0T-Ee3q4,Limahl - Never Ending Story (Official Music Video),a9b3c13f394b01638d8b397878b18f287bfc905944f4fbb6939864179acd971c
206,Lean On,"Major Lazer, DJ Snake & Mø",2015,https://www.youtube.com/watch?v=rn9AQoI7mYU,Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Lyric Video],70d6467642193e3478ad52a0fa3904b131af042af74a8b94038d9eec25dfab74
207,(What A) Wonderful World,Sam Cooke,1960,https://www.youtube.com/watch?v=R4GLAKEjU4w,Sam Cooke - What A Wonderful World (Official Lyric Video),91124220bb99da989fc572f9c5a3e6ee3b6c7049138b4d3d86d9719dfbe53b69
208,December,Collective Soul,1995,https://www.youtube.com/watch?v=mJPkIcYfrAA,Collective Soul - December,abefb83435a4c9e4ed278a0da40d67c3e7721be99d2de1e69c8e4dc3d9da8a70
209,I'll Be There for You,The Rembrandts,1995,https://www.youtube.com/watch?v=q-9kPks0IfE,The Rembrandts- I'll be there for you (official video),a1266d209b70a43a5461c20b86e7e9f7b4b638777ca73286d6c6e7ba58107272
210,Be-Bop-A-Lula,Gene Vincent,1956,https://www.youtube.com/watch?v=sQL_Bv8nbDo,Gene Vincent - Be-Bop-A-Lula,dd26bafb0b573cbc79ff77f630e2fd7802d2ebab9b61fccf56a478de54fecd5c
211,Everybody Hurts,R.E.M.,1992,https://www.youtube.com/watch?v=mhIay4-PbCY,Everybody Hurts,7a53e3e47b90b852b9fe56f5be8cc6401125647a2c484164c80ac3fedfbde1f1
212,Policy Of Truth,Depeche Mode,1990,https://www.youtube.com/watch?v=7smG_3QdYtw,Policy of Truth,750fbfab31b2aefd51a612af942f554a26787a41a402adfa3658947521301f17
213,MMMBop,Hanson,1997,https://www.youtube.com/watch?v=XEebGBGZwj8,MMMBop,8ca8661197aab80f327338c926695d7413f3ac8391eb078fcadb79812fac23e8
214,Because Of You,Kelly Clarkson,2005,https://www.youtube.com/watch?v=Ra-Om7UMSJc,Kelly Clarkson - Because Of You (VIDEO),aec78f643cb0750924dd3d5d8c0e98b4058e46c8323ff8e55f1dc242525c2390
215,Oops!... I did it Again,Britney Spears,2000,https://www.youtube.com/watch?v=OO0aTOIU_3w,Oops!... I Did It Again (Remastered),9278adcd625b15d82c42a0c05772cd2d486479c4fcb11a110d6caad5727124b7
216,A View to a Kill,Duran Duran,1985,https://www.youtube.com/watch?v=Fp4CR2HcHLQ,Duran Duran - A View To A Kill,a7946f6ac4dce72d3a12ed490df9bf6501c5b6db0951311add887bdcd202f494
217,Don't Dream It's Over,Crowded House,1986,https://www.youtube.com/watch?v=xwsaVHiiFQ8,Crowded House - Don't Dream It's Over (Audio Remastered) (HQ),d0eaf0b2032c5243a3d6af2fca44d98c62296fd0a5676084e70d849149b82817
218,Zombie,The Cranberries,1994,https://www.youtube.com/watch?v=8sM-rm4lFZg,Zombie - The Cranberries (Lyrics) 🎵,88ca0e4f66be807932f0a51348a8e36831d36649bddf70f2122d10c84752b008
219,Self Esteem,The Offspring,1994,https://www.youtube.com/watch?v=EtNZnhxWLHo,Self Esteem,385e2101e0b48bbbe16b5ddcefad4d460235243c302aa06afa7a312f140a27e3
220,Piano Man,Billy Joel,1973,https://www.youtube.com/watch?v=QwVjTlTdIDQ,Billy Joel - Piano Man (Audio),a2aad168e6f73e9acd0d451f7fad95e07a6f9f02181410eb3a7a8f6eb5eed344
221,Holiday,Madonna,1983,https://www.youtube.com/watch?v=h4bP9tj_0Zk,Holiday,1d2cca44324700f4c1ec60827a0fa41672909db4f26b7ff90d476ac4ac0744f2
222,Beautiful Girls,Sean Kingston,2007,https://www.youtube.com/watch?v=v7EgkZnYRZE,Beautiful Girls (Radio Edit),2c15bc388ebe1c995e4c67bbb1d11293c9623bad6ad38881a837e5d914346b00
223,Surf City,Jan & Dean,1963,https://www.youtube.com/watch?v=ERrwjR4ZlfI,Jan & Dean - Surf City - 1963,1f910eb55ef3b926427d0cef3a3a33dd1ce501f4e122305f5cff58eff6e5df7c
224,Alive,Pearl Jam,1991,https://www.youtube.com/watch?v=wGiTPgvKktM,Pearl Jam - Alive,7091536e4cbde7018cf991ccd52aeb1b27ca89f1dbf570865eb922ecc9b31b3b
225,Praise You,Fatboy Slim,1998,https://www.youtube.com/watch?v=ruAi4VBoBSM,Fatboy Slim - Praise You [Official Video],d53e45e3977a93b5ddac2710bc8571b7bbf3ecb85ae370213987548d1f287bf5
226,Running Up That Hill (A Deal With God),Kate Bush,1985,https://www.youtube.com/watch?v=HYwNM1t9ltI,Running Up That Hill (A Deal With God) (2018 Remaster),8c81b1aed923b2c8050095811c0af5ba373eb7be9565b16ef5c7c6a73122f119
227,Surfin' U.S.A.,The Beach Boys,1963,https://www.youtube.com/watch?v=KcZn05qxVgg,Surfin' U.S.A. (Stereo),102c56bcfc1b092cdf633cde6a9876bc015350f1893a03f66342043a0fc54e1c
228,"Monday, Monday",The Mamas & the Papas,1966,https://www.youtube.com/watch?v=VsIjOKCxRSE,"Monday, Monday",abdbffc2488bb5ec60289a5e4c93b84895fee72ad345632ad4c377453d7b5500
229,Hangover,Taio Cruz,2011,https://www.youtube.com/watch?v=hToYLtkLwlw,Hangover,6be00441ec820eb68a6fd14e0bc415f4d381492797de89479542e46a31c76003
230,The Wanderer,Dion,1961,https://www.youtube.com/watch?v=SbYa7NBYyRc,The Wanderer,30f85eb0e4d108a63a7f71beaf20508c7e1a47526a3c3c49f7c67c19f3a1e1dd
231,Tears In Heaven,Eric Clapton,1992,https://www.youtube.com/watch?v=ZqtyQuXo9zM,Eric Clapton - Tears In Heaven (lyrics),254e881d1f45452eedd54d1e4ac673407dc5d416cd5b2715da0ee99070074b78
232,Put Your Records On,Corinne Bailey Rae,2006,https://www.youtube.com/watch?v=E-_JcJiUOII,Corinne Bailey Rae - Put Your Records On (Lyrics),641ecea15512d9ba9e9f7b0c54eaea3c3544b879a485579ce809df0dbefc7c5d
233,Escape (The Piña Colada Song),Rupert Holmes,1979,https://www.youtube.com/watch?v=FXG_I_tf_i4,Escape (The Pina Colada Song),937e8c54c029d4676dbf1910a07eb9ffec7f34a3a0ba99ff449384719c6335ca
234,Genie In A Bottle,Christina Aguilera,1999,https://www.youtube.com/watch?v=kIDWgqDBNXA,Christina Aguilera - Genie In A Bottle (Official Video),cc8aedb31c217d8fb7de7985e4f5de12c1d6a6a96ee99a186d02eea8dfc0aab0
235,I Will Survive,Gloria Gaynor,1978,https://www.youtube.com/watch?v=6dYWe1c3OyU,Gloria Gaynor - I Will Survive,82fa45877ada17544d1618d24d68b23953e4dab42d11712dec13fac0db25f64f
236,Dynamite,Taio Cruz,2010,https://www.youtube.com/watch?v=kJNyjdpT1vo,Taio Cruz - Dynamite (Lyrics),6d84ae89038004ec7a505d26dcdc242a1257bb2a4249fa07a756565b0f16c603
237,Heart Of Glass,Blondie,1978,https://www.youtube.com/watch?v=WGU_4-5RaxU,Blondie - Heart Of Glass,4641f4f8d037f3964cf1f43d0a25ca94e3cd4d24938be4187bf73689a50a2783
238,American Woman,The Guess Who,1970,https://www.youtube.com/watch?v=9uf6EY2BZBw,The Guess Who - American Woman (Official Audio),6f6732cd6bbd99b1b73fdf849cd3699d4d99b69f40b83d140293f9feb295ba48
239,Un-Break My Heart,Toni Braxton,1996,https://www.youtube.com/watch?v=p2Rch6WvPJE,Toni Braxton - Un-Break My Heart (Official HD Video),4d68cfde69d615739fef4778b5de7217725a6df1214eeadc1d13ae20f2e8208f
240,Blue Velvet,Bobby Vinton,1963,https://www.youtube.com/watch?v=icfq_foa5Mo,BOBBY VINTON-BLUE VELVET,8e1c74a8deef20539838944a2ca58bbf701a7472ec2dec7b8a6634413de2f8dc
241,Nothing Compares 2 U,Sinéad O'Connor,1990,https://www.youtube.com/watch?v=0-EF60neguk,Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],a4f66fd8794f3c92ed8358f839f112cddb139fdba8084fe93df263f2a9a3a0ec
242,Holiday,Green Day,2005,https://www.youtube.com/watch?v=l2hA8g1cNvQ,Green Day - Holiday (Audio),e0f18d1095611359d48cf7606ffaeb060c85a624e9603f41f457b1f86e1340d0
243,Under Pressure,Queen & David Bowie,1981,https://www.youtube.com/watch?v=nbwn21TU4ec,Under Pressure (2017 Remaster),c77e0f7b264af5fbf74d4e861306cfe047fcf918f106fed975fb86f1c3235d4e
244,I'm Like A Bird,Nelly Furtado,2000,https://www.youtube.com/watch?v=z_6_XTv4F_g,Nelly Furtado - I'm Like a Bird (Audio),305e4993ce2661c55cabb01202cade601dbcb26fde1873cb8e30300f0dd6cdd5
245,I've Got A Woman,Ray Charles,1954,https://www.youtube.com/watch?v=CnI_LuCJ4Ek,Ray Charles - I got a woman,4a3b10b8c782f28d75ebcc4af005b5dda33a73894842ad89e4880b350aa192bd
246,Pieces,Sum 41,2004,https://www.youtube.com/watch?v=E3oDVDyOrAQ,Sum 41 - Pieces (Official Music Video),27de3636d973daaa1d9ba6465122472529bce47b2328e8e116ace951d3e3cdf7
247,Anyone,Justin Bieber,2021,https://www.youtube.com/watch?v=Yxpyo4nCvKY,Justin Bieber - Anyone (Lyrics),ccf18e16efc7468d950aca745bbd734c0505d50f201be11b823f7333d950f749
248,The Twist,Chubby Checker,1960,https://www.youtube.com/watch?v=-CCgDvUM4TM,Chubby Checker - The Twist (Official Music Video),3e45f1259620f3c41277f13823d65da880a07a474afb1489b8417eb4c6016734
249,Stop,Spice Girls,1997,https://www.youtube.com/watch?v=jlh9JKRGQaQ,Spice Girls - Stop (Lyrics),7e9d40a9d1ca7b5057e90cf47b314a76de04aca2822434e1ed826f61e3e74977
250,True Colors,Cyndi Lauper,1986,https://www.youtube.com/watch?v=2ecaYj14z3M,Cyndi Lauper - True Colors (Official Lyric Video),e5e9c1d41d6e4f6d696a06bf6a6c5332282d39a94749caeeac84c9c0f9e50119
251,If You Had My Love,Jennifer Lopez,1999,https://www.youtube.com/watch?v=tT5g7I-Itc8,If You Had My Love,bf5fa0d70d2072a84200757a86bb74a537d8c210936cb651f9ed13dc433879dd
252,Self Control,Laura Branignan,1984,https://www.youtube.com/watch?v=FQD0yGuZ2N8,Self Control,e7ceb80e0ab393484541cf889a972702d6e3ca38d399d5b56e8b8f7359475eff
